Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,target
F,0.4875929141842288,0.39968140941668595,0.13126548569737145,0.6968627994672012,0.29351414451890334,0.1647433522061718,0.21135220560265167,N
M,0.5350631261003646,0.4045306473864835,0.13879963373452048,0.7161523212687184,0.3379592803128295,0.15400356561893996,0.19211637397175266,N
F,0.49524489044182485,0.3941959123534599,0.14551953073553495,0.6342657995027086,0.2679692584863853,0.12424290711836587,0.19813503432434085,N
I,0.49712051171143856,0.3710743581163959,0.1293307687913247,0.6739448677875562,0.27124487023589006,0.18479769109608102,0.18387640920592863,P
M,0.5875192239422095,0.4625192239422095,0.17083974131406982,1.0016946842793535,0.3959024803577695,0.2737711463364304,0.3017563783969775,N
I,0.5414448856615207,0.4272920803076757,0.13368762409230273,0.7698374807353017,0.3508050518584259,0.17148802118767134,0.21139160233535925,P
I,0.5053349870916388,0.3940012403187291,0.1363337467729097,0.5609102041474163,0.1993584056852592,0.13821743152988292,0.17551705943426418,N
M,0.6494153752531796,0.5054538133861285,0.16,1.2960912636808202,0.5784959736237065,0.31351308113606924,0.3458029776837034,N
F,0.5763119777513803,0.44104958220110435,0.14368319406703475,1.0488121451258496,0.5148543176801074,0.22678187565108485,0.25209916440220853,P
I,0.5182373715559294,0.4602025504563765,0.13803482109955295,0.7337103008957554,0.30666272751432,0.16438342361918473,0.2170699857737153,P
I,0.5409543176982048,0.42,0.15333604477748664,1.1018905448049683,0.48791019724289175,0.23305951066697717,0.2982299733554585,N
M,0.6914746898206864,0.5464746898206864,0.21147468982068632,1.9087761134475412,0.7015715384441276,0.5261496308696412,0.5700819974868777,N
I,0.3388656056227424,0.25866600351421404,0.08433300175710702,0.19818496899638788,0.07440552604444811,0.03991966179224915,0.06603310122997491,P
M,0.4904652925572062,0.37773264627860315,0.11984490248093126,0.5631676263075054,0.27637516398875817,0.11924593306302658,0.14792836214692906,P
I,0.6275903775318634,0.48835468174463903,0.1570594929787073,1.1539221411699632,0.5155427674658485,0.2123748214489051,0.3552274389956507,N
F,0.46869557062691936,0.3713044293730807,0.1220655028057825,0.42686251612883136,0.21510885874616142,0.11366338189828495,0.19045739429196362,N
F,0.5219760966055238,0.4109788546895018,0.13799172574806592,0.8470119251849685,0.34096552395027474,0.20112890065756814,0.2494737982022088,N
M,0.4846449320591887,0.3784393155517901,0.12361684952219576,0.6201863694054542,0.3002805837970171,0.11003933970908132,0.16330007247187367,P
F,0.3426355101596662,0.2614802501287631,0.08602894007210732,0.21472049233581414,0.07636472412567277,0.05739538509528468,0.06718420010301046,N
F,0.3480869971676499,0.26539318907885096,0.08038761617759783,0.1950688552845267,0.08413105304160014,0.04527495371013303,0.0634690404439946,P
M,0.6422758152666685,0.5188206522133348,0.1821310170990483,1.310917721493913,0.5728909550525745,0.2697240877857163,0.376193730655812,P
F,0.4240885838742513,0.3085775108899699,0.10755536492140706,0.37270924817068285,0.1446418199841689,0.07929159386030421,0.12235519335067341,N
F,0.5424492000749364,0.4129102815591932,0.16776648890554138,0.8634785664765686,0.33760220772102945,0.21262347268362625,0.25213191124433115,N
F,0.589640628559078,0.4812673650656421,0.1538755788355214,1.2330725802798594,0.6113794048444874,0.24666961967691325,0.3210571775604654,N
I,0.315080879717731,0.23858955911752164,0.07673987403357761,0.23620167187313407,0.1067473705773332,0.05181154693032455,0.06798264120041876,P
M,0.435816159816996,0.3102345438352964,0.11732646392679841,0.4192505402729485,0.20619328345455726,0.07799719777760473,0.12176925104993673,P
M,0.6159957209306957,0.481498930232674,0.15799786046534786,1.1424973465146213,0.5903297813975374,0.22292237907005116,0.287920239535399,N
M,0.5328899472702417,0.398972173398372,0.1195888693593488,0.722136575256447,0.33033068423128076,0.1686366256546325,0.18750904978835523,P
I,0.5182583110444352,0.42222112812819446,0.14896281708375925,0.7110371594062899,0.31052053731741946,0.1562289585852926,0.21074755004341297,N
F,0.5815873582596128,0.4453880605785232,0.1333950837676272,1.040296580602391,0.4275610213004728,0.23158911405688878,0.3425555753908645,P
F,0.6099397550059998,0.4910575600053332,0.17276439000133328,1.1038587515251326,0.4780060244994,0.2220635845047332,0.3555716060205328,N
I,0.5114224605639293,0.40180246700247146,0.1320249919518223,0.9167880960383606,0.4566994228984576,0.17871396973885184,0.2356439600810386,P
I,0.48067888992819435,0.3731675446801534,0.11626701787206137,0.5586635540672151,0.23547767449477022,0.13079424646735954,0.16131693696344135,P
M,0.6310841498190511,0.4908131123642883,0.2233737752714233,1.3374636022557191,0.6813266642370265,0.25974535300059765,0.3238359582358312,N
M,0.47856665553495015,0.3676749916512126,0.12410833611626246,0.4733837495825606,0.20439500500927243,0.0933533244279601,0.15265124874768188,N
F,0.44852927188082686,0.329509757293609,0.115,0.3675982863438725,0.14137267957789493,0.08362755822469939,0.12405878156424806,P
I,0.5731555382243249,0.4150719875215139,0.15767288299627047,0.7125315163869743,0.26707918627366534,0.18570167800487603,0.18611234571141652,P
M,0.6373542955438987,0.4873885789453342,0.16831047773237623,1.3488366161822205,0.6511537376455001,0.30551124858015843,0.33486629473440105,N
M,0.41135492219164993,0.3127235380821356,0.0963686158904858,0.3900839377533199,0.16773449304120439,0.09331569205475711,0.1136313841095142,P
I,0.30960836269641767,0.3912532646995327,0.12361183659989616,0.5988603215161373,0.2604712833081465,0.12707397874935103,0.18575718233897204,P
M,0.5712566573981551,0.4612566573981552,0.14895722376697412,1.0203981320087103,0.4663020965904431,0.2505534280700741,0.2508555246605172,P
I,0.43517845902045504,0.319999919296737,0.10785711979906772,0.4209997821011899,0.17273205321887575,0.09380352560064707,0.14260706734194675,P
M,0.6127095228354891,0.46607156006192174,0.14451970896765245,0.9587640446482418,0.3985728954211635,0.2215346287584097,0.29011097799722674,N
I,0.5569089984637101,0.42428076656775665,0.16183764252793786,0.9172079171980644,0.38288702427552623,0.1945599807437359,0.301421149851635,P
I,0.32038719992067577,0.23419004438274782,0.07179573330689193,0.1731582398651488,0.06778743695918177,0.041237060722525545,0.04759383699884389,P
M,0.41996535896800874,0.32055155655436224,0.09527577827718112,0.36591672652534624,0.17622048762387005,0.07067226017483204,0.09721369441534664,P
F,0.5879089831743177,0.4665211187510754,0.17437269495229532,1.223691495632205,0.49877061389763055,0.2768349798577463,0.365266508655666,P
I,0.5245759559690909,0.3988666258973063,0.14390131539481482,0.6154383910657909,0.22266309579351504,0.13098498626948812,0.2388569960541346,N
M,0.6994745260594313,0.5662287717161927,0.20622877171619278,1.8737476598636924,0.9294170862559206,0.4125905114304472,0.46665195001625687,N
M,0.5891309331763394,0.47121783985870536,0.16165237327053572,1.0462255667942857,0.4483187569031697,0.2190440264939732,0.31800357689139513,P
I,0.5144841606685656,0.38779366426742623,0.12389683213371311,0.6058959217549846,0.28379429537944856,0.12444407086131024,0.16779366426742623,P
M,0.5140341587348516,0.4183716771403962,0.1598186855805941,0.8164026796517037,0.3192322018301785,0.1509023637989704,0.30276846471405966,N
F,0.6144298763371918,0.4879532508914612,0.2018785600484817,1.322498280858614,0.5381747447083208,0.21909720582655595,0.4900450299671529,N
M,0.5054377485570193,0.3969682966442717,0.15155994090602906,0.8332721979461466,0.33123860835564034,0.16374532781540857,0.2348519828590172,N
I,0.5435759932948587,0.4024044734289616,0.17288671852486895,1.0747188884515442,0.40667336476218335,0.2360782661531169,0.3747643456167056,P
F,0.6184551507608821,0.4750685223029962,0.19011420383832695,1.2168679491712848,0.419697882382476,0.20593687814674977,0.4152680692778979,N
M,0.5323815024613002,0.4255361268459752,0.13388403171149382,0.8364954096276118,0.34119259344011216,0.20200368441892405,0.20587897321110668,N
M,0.651683276820169,0.5188794915101613,0.1646264971700538,1.4169557456521689,0.7008546214046794,0.28498706213017677,0.3708894576022629,P
M,0.6792290280587547,0.5425992008971794,0.17894274298531132,1.6521303586947098,0.5653832224470038,0.37895805611750927,0.555595205383076,N
M,0.37424447343336814,0.2801210732289721,0.09449825476843204,0.27505460987784786,0.1076654303135691,0.06503283150555575,0.08737020061318815,P
I,0.46477513004676885,0.3557564356367915,0.12901869440997737,0.6511924987194164,0.28344364825331647,0.15046320858706358,0.18877629467404772,P
I,0.5892496950584326,0.46340881368948417,0.14529538986087964,1.0409233431508171,0.47560375630273166,0.2514745832465246,0.28122684765720907,P
I,0.5369730892475901,0.4284668489104036,0.14380499226974924,0.9448181765258112,0.44926759058198085,0.21415070245895768,0.239628705551058,P
F,0.4229866559170706,0.31771258482899545,0.11230147819688267,0.4483120412579461,0.18404287643727343,0.09736051132226115,0.1450140630258781,P
M,0.581814674666907,0.46893822488896897,0.1407528995558759,0.933671835112833,0.3974034794670511,0.2237586986676277,0.2596911244448449,N
F,0.44790022552435704,0.3380074655892107,0.10311470565406441,0.4768747492065739,0.22531318920760562,0.10379375534704108,0.1431209269784067,P
M,0.4470002188687671,0.32222246540974125,0.1208889861638965,0.4213896974873895,0.20231147346051442,0.09136681622699086,0.11925580239088736,P
F,0.466137175936262,0.3548938126458937,0.11248672658073672,0.502765954008928,0.23557346352379827,0.12292832353597824,0.12323008987110506,P
F,0.47928033370862555,0.375,0.13040585730369667,0.5771251012384643,0.24937447640492888,0.10307196662913744,0.1922820057323032,N
M,0.5746214802103291,0.45,0.14481074010516454,1.0014108709106102,0.3914889982839443,0.2627618864101417,0.25826496385276965,N
I,0.5874424433679853,0.45283591361906456,0.14421305949784163,1.058185845046869,0.4708292153385607,0.18797362820694224,0.28023900996194195,P
M,0.44401640598859204,0.3525410149714801,0.12188525374287003,0.557959147655644,0.2980328693749926,0.12743445257604327,0.12031968718631045,N
M,0.3841641405268817,0.2983484326427474,0.09261832586482334,0.3448982603638138,0.14687259729073948,0.0899516534452271,0.09033131242150536,N
I,0.6023221461988101,0.49092047478757916,0.16150626779211602,1.103826244819517,0.5178325792011085,0.2377280094560135,0.2975815612048792,P
M,0.6216080809318011,0.4787280303494254,0.15830404046590058,1.1216996724393893,0.5626676016240633,0.21000570723463652,0.29211994941762426,P
I,0.408893753536958,0.3063250026766169,0.09895000076474769,0.36170750676801705,0.30682499502914007,0.06930062632874909,0.09265687661552949,P
F,0.5412165462675231,0.40156486158632554,0.15039121539658137,0.8673924365864168,0.35035484945573,0.20337354389581275,0.2693033693623952,N
M,0.6052491872968275,0.4770849712428137,0.17037826956739308,1.25343613903478,0.5477715828957348,0.2922104626156578,0.3578415103775998,N
F,0.33459451865868683,0.24521014552406656,0.07913411069712557,0.2634701562270596,0.11483169627217428,0.0646866002509991,0.07010201716638305,N
I,0.458179048035308,0.34814589099173243,0.12104863033057749,0.624329494237782,0.32572878360067137,0.2656889951483807,0.19953771225431716,P
I,0.4238340332292919,0.3172981689658722,0.11114908448293609,0.4218361329171675,0.21231996465614855,0.07814514528245596,0.1051047790756304,P
M,0.3655963568872952,0.28009438450038066,0.10485584174546257,0.5023958986008055,0.1886485265129012,0.09936227520699953,0.16533292725529875,N
F,0.624220615132062,0.4873764921056495,0.175,1.2844910690165092,0.47677385203998557,0.2739582643426268,0.36002555833455674,N
F,0.5257725914026181,0.4097855007755427,0.14725322734323115,0.8480668298249678,0.38385402226899745,0.18461390139597691,0.22308599678706886,P
M,0.537298684140832,0.42740880276094967,0.14773915862130255,1.0408822791841565,0.5368475387649783,0.1753847164155051,0.2827123108995303,P
F,0.5761189659100574,0.45180212237851447,0.15805948295502867,1.078416097341733,0.4213451208077492,0.30729829646152607,0.29950530594628616,N
I,0.5439466094059041,0.4235306991216522,0.15103523741614094,0.8202606499854661,0.3441251462742888,0.18250854211909298,0.24646241279617903,P
M,0.45161963794607374,0.3621809400517234,0.12302289321019783,0.5773800957251964,0.25414348184412794,0.12815914965645514,0.16756350773550882,P
F,0.6502500607530969,0.5161900461723536,0.17906001458074325,1.4453827752115287,0.6496936320772325,0.37007257837149493,0.3756460597810473,N
M,0.4892509836613883,0.3821952095144131,0.14602788707348757,0.8114085197849971,0.24056650105635335,0.13863425141729574,0.18056153968008498,N
F,0.25362939142581753,0.19031576676056558,0.06770222788346587,0.18373928821918561,0.08139477266139655,0.04320329893112268,0.049958740218408244,P
I,0.4334281637851615,0.35711379654219383,0.11237126551406461,0.4766403937636654,0.23075063774321336,0.07992546154680015,0.14023484947518733,P
F,0.3507821069267558,0.27943434356091135,0.0904201539593297,0.5321271530054228,0.207864502370627,0.09632721269548108,0.1439705388576539,N
M,0.5058260959329598,0.40487578280925707,0.10136336109018274,0.7037469203774909,0.30982205629353476,0.12337982244868212,0.22046243204197813,P
M,0.5524738780694591,0.43290761482089446,0.1441325264971295,0.8245336766037848,0.3393280838857042,0.16807107419196257,0.2583413515723297,P
M,0.5134883006918073,0.4181692877826012,0.15689323614577697,0.7009330007845012,0.27515197540830216,0.136122797575059,0.1947226697097127,N
M,0.4917536002846413,0.390065200213481,0.13819492009250844,0.7222508452033214,0.31951886855291584,0.15495881630171984,0.20028345627325572,N
F,0.38784064763039405,0.27784064763039407,0.11945450362086306,0.4852679914749269,0.20610230933174484,0.11129085470712197,0.1370203698322477,N
I,0.4564470838828093,0.3506094309768204,0.12566000710012928,0.599815711837062,0.2747009714981992,0.11953318916729,0.1603098989755968,P
F,0.5565381829890017,0.4155127276630006,0.1510254553260012,0.8369433983364734,0.40008909364100426,0.19329490893479975,0.20864072852160193,P
F,0.4035306855720492,0.3217881141981841,0.11171979996170556,0.3451102738458752,0.12945434550694865,0.06907514566012643,0.12355345698420872,N
F,0.42629310485934396,0.34629310485934395,0.09154453964194001,0.38791810690539275,0.15462715626599155,0.08702298925831677,0.11721982864450797,P
I,0.5347514915916933,0.4054442582352913,0.1347025541349472,0.6995025273546551,0.3156795401401305,0.15602332239100034,0.1906468123702385,P
I,0.5876056274312527,0.4695383354944468,0.1522691677472234,1.0992107086717748,0.38581897658046765,0.2614728647489854,0.34843243496782883,P
I,0.33960282355675825,0.2502687059021032,0.07556658823453449,0.16733237649360486,0.07523774118687744,0.03315712941624649,0.04990070588918956,P
M,0.7009724563325048,0.5465327285051758,0.19709300067784669,1.9862775767249667,1.0423686976382598,0.40902527556190427,0.467669021534078,N
M,0.6022093397565162,0.4813289624745255,0.17911962271800927,1.0574289163278996,0.4049668966529017,0.24300167931030786,0.4927906602434838,N
I,0.4630544906040121,0.3624980830872218,0.11805449060401212,0.4987463578657214,0.20885840613419077,0.09608211928857381,0.16422256300671614,N
F,0.4889055292330658,0.3922946124158522,0.13483275045164114,0.672028203974442,0.2380195249835983,0.19388278586387064,0.1978447872803598,N
F,0.5488089241870724,0.4268362207317763,0.16952356967482896,0.8991327051020757,0.36007020534162765,0.2387372077968671,0.24172008449606974,N
F,0.5643469215902878,0.4411345287031974,0.12978230719676256,0.9514167120682491,0.39653950170768176,0.24510745950672652,0.26106196443545154,P
M,0.6058992275964281,0.4741007724035719,0.14649871266071338,0.8985674870621343,0.3925821987239232,0.19487624096928313,0.27155866116714195,P
F,0.2688372739731031,0.19618073533587058,0.06700360186179473,0.14354317599414623,0.05869509643565897,0.0323354730422057,0.04085426694815171,P
F,0.6171573220249217,0.4777258576199374,0.15630451863239828,1.0962683087623033,0.5507648026716495,0.243192368131464,0.27838473626292803,P
M,0.47708600300432913,0.3697416523283551,0.1369801010515152,0.8397759011336908,0.3611647887479006,0.2209707922983118,0.2137754297419806,P
F,0.6284367006818224,0.5170620204090934,0.1685624467121215,1.4264911012583645,0.5422606562394039,0.3307958758522781,0.4959345691666825,N
F,0.5664624815930616,0.4391168969669711,0.16469116925218102,0.9275250150964054,0.44100791331341876,0.2210372645057538,0.23722307358192746,P
M,0.601570881755379,0.4542827859164328,0.1646739935983786,1.1713289333675245,0.5404467647725446,0.27908778717821964,0.30423183509769264,N
F,0.5967155083690121,0.46504309561971663,0.175,1.0376206677352064,0.39076636120027786,0.2246525887642259,0.3313818877315474,N
I,0.6001087007610392,0.475,0.14989129923896083,1.0016250176255852,0.4778152087062334,0.2049456731202606,0.2726902145814285,N
I,0.5333981037957349,0.4124907032117758,0.10119212536497452,0.8018292363471332,0.3695436740038459,0.13882890968254763,0.209882135923461,P
F,0.5252910775965245,0.3854908716452168,0.16225456417739162,0.8969621007033391,0.3807447428838444,0.24375852444626653,0.2406060948667932,N
M,0.6724331976129441,0.5352672095482242,0.18783401193528013,1.556264823462067,0.6626761670939216,0.34796478554149946,0.4367651737423837,N
F,0.5973093391019744,0.46730933910197436,0.17104969959180652,1.282456005452626,0.5376341014202171,0.3173717494203159,0.33875349707743335,N
M,0.5497202417764204,0.4188321450658522,0.12883214506585225,0.8354128951326587,0.42820110036266446,0.18669714815804542,0.18166917233568747,P
I,0.6082656461254814,0.47514142279829374,0.16836407024600986,1.3604506394398177,0.5368830842318929,0.28496306620481543,0.3928129941709959,P
M,0.6392885340132741,0.4897154136053097,0.15571146598672586,1.12938221782354,0.47721343979601777,0.2675059214278757,0.3395731204079645,N
I,0.3021039687960154,0.2172056611822777,0.07283729218198036,0.21833452127505174,0.10252590076009502,0.04540588882325298,0.05876137181427289,P
I,0.36458627972266344,0.28239656993066586,0.1064051451040012,0.2427923879418602,0.09240439318452968,0.06004919528159747,0.07928102902080024,P
I,0.49586705139303106,0.3770664743034845,0.12,0.5366271668109405,0.2156199422910453,0.12550578179602856,0.1638005770895466,P
I,0.4424657238224183,0.34746572382241825,0.1185684803230479,0.43797250702581897,0.17111845871341322,0.08925409153167513,0.14940955411045354,P
M,0.4917796500563766,0.3768554763662316,0.12231043422536225,0.6186792612733901,0.27439293587611546,0.14396921583101427,0.17637420612117355,N
I,0.4430720523236539,0.32268876532629376,0.11602401744121796,0.46043584735220056,0.18432892013567428,0.0998049026944563,0.15109779666830364,N
M,0.5858001701919627,0.4566003403839256,0.165,1.016723982491929,0.37244583758432337,0.25326079990222505,0.3085986384642978,N
I,0.3118844497310001,0.23507540154553583,0.08891960440183931,0.18958552706251117,0.08219853122958232,0.037673384294239366,0.05841963384720909,P
M,0.37902410005429205,0.28604141879637446,0.09225602501357301,0.38265257141536446,0.13220196130135123,0.08504247253936173,0.11716943130316096,N
M,0.5677458497591504,0.4393261817784184,0.13722784187475823,0.8695606922473889,0.36185167420076625,0.2134192600088603,0.2569425295664708,N
M,0.5687978988674395,0.44293263295581314,0.14293263295581315,0.897707353963962,0.3807404202265121,0.17245704533419032,0.2824042022651211,N
F,0.5401169247989284,0.415,0.135,0.7102335566286944,0.32075694158848006,0.17413446351876763,0.1848830752010716,P
M,0.6100047322346399,0.5025130136452598,0.16500473223463996,1.3193016996634415,0.670383222257687,0.20989410639735884,0.35814280503283286,N
I,0.5470234613547604,0.4350335162210864,0.13301005486632592,0.8238278184635017,0.36729932967557827,0.14382446684139305,0.25061541746169974,N
M,0.5411376314176342,0.4059243255268278,0.12535550981801066,0.8969441241571384,0.483000251432005,0.19504087778738627,0.20374910830461251,P
M,0.6178523841918782,0.49213853108352557,0.16928311865011536,1.164955484849478,0.41948425314403315,0.2641303548313889,0.35141559325057675,N
M,0.6755250613503061,0.5283071954431194,0.17624509914558492,1.6068334767230499,0.7861550291975103,0.3284433616351111,0.4197565438766918,N
M,0.5731257024755347,0.4675317066090976,0.15693771074266044,1.0231158297340348,0.43837943511687233,0.21663665929361195,0.32660896631606584,P
F,0.43503066238599264,0.3346389710661482,0.11385558842645929,0.39697447976202466,0.1677718096550979,0.09082868424887192,0.12183175048747118,P
F,0.5334378132646059,0.43395854217640395,0.15,0.8567475476281059,0.40635119218709614,0.21284748675677834,0.22999999999999998,N
F,0.6598841830065436,0.5007802505446658,0.19329472766884784,1.5001318267974257,0.6701642821350927,0.31687260130719785,0.43756034967321494,P
I,0.5480367484716505,0.41840482137174184,0.1445704835859623,0.7377511537685173,0.2979937968302467,0.17856433923456766,0.20874217251486002,P
F,0.6920576242024602,0.5457966060035147,0.18247796360210877,1.6535694663212637,0.7918433767910008,0.39195829562797824,0.39132982538432304,N
M,0.6393956003173797,0.5193956003173796,0.1631032000827947,1.3651667218987582,0.6279968810404533,0.31492116041811324,0.37712804042363285,N
I,0.565,0.4499670333829513,0.1409802200297708,0.970136489364295,0.4679520910397936,0.19263670409526645,0.26650571547524066,P
I,0.3362077092713178,0.2593961453643411,0.08620770927131781,0.19230192731782944,0.09645653082790699,0.030845396489922457,0.05412077092713178,P
M,0.5524798075808092,0.4265199251703147,0.1644399572401798,1.1760644821169726,0.4812083976663278,0.2556001603493257,0.36793605238077975,P
F,0.6064531837866771,0.48364178726096063,0.17281139652571653,1.2331733827550977,0.49155521706972916,0.24996444645029453,0.35790636757335437,N
I,0.5550601092096576,0.42309052025103644,0.129151342333794,0.8913394388162911,0.4042443333904885,0.20498850068779767,0.2494672842461425,P
M,0.5234588064150432,0.40960937411309484,0.14076704513203447,0.6556008501280293,0.2904865036903129,0.1403451703094155,0.18984517030941553,P
M,0.5168869433785103,0.4050581828587395,0.1359289259745703,0.8871254930993422,0.3737709776140836,0.18819970361212773,0.2412084310409387,P
I,0.5802801123532675,0.44932009192540073,0.1546320347273736,1.040991597730567,0.473846575475376,0.18316246516489515,0.2648001021393341,N
F,0.5609652874501331,0.4496528745013305,0.13482643725066526,0.7623045554953487,0.35981121944149014,0.16261055304687605,0.21061816195146357,N
I,0.4468414892944827,0.3287365957177931,0.11405244678834482,0.3601043084064482,0.1383891595401862,0.08129976593190344,0.1226364786837448,P
I,0.4861418164948561,0.3922836329897123,0.12728363298971226,0.5985359888660504,0.2907679944330252,0.13814545876285966,0.13118980164959007,P
M,0.5918723495006528,0.4878617119590406,0.15494681229193868,1.0889213674982063,0.4328851429859666,0.22728405079642638,0.37473406145969346,N
M,0.6149376256985075,0.47993762569850756,0.1576819095989146,1.1485592277816288,0.49289292102635024,0.2872650629765538,0.3334189134080598,N
I,0.5093101096723357,0.3749447741892219,0.14185981290203603,0.7283474038394278,0.36991155224134276,0.1378525903159287,0.2015909928956653,P
I,0.5573177894201174,0.43362231574500326,0.15768084208909208,0.891982357734239,0.345114726253834,0.18910809470621814,0.31173799994239054,P
I,0.24650424450098404,0.17699422751895116,0.06571918506386895,0.1349689643780204,0.06956298813272171,0.02001001698203288,0.03938278438861659,P
F,0.3680062930674801,0.2953559784141061,0.10650314653374005,0.2901953520960047,0.11439673208788036,0.06888012735567293,0.09415346118711404,N
I,0.5118088460539355,0.38460838047214946,0.14580651814500517,0.7054659063641078,0.25705196545190234,0.12032260725800206,0.2645808580640165,N
F,0.4228494823723989,0.33943657554536705,0.10419785506427169,0.517958117934305,0.18993141653582055,0.13186323973118963,0.168907544487711,N
I,0.408602891412655,0.3123486560301822,0.0941162186767274,0.4200115768940305,0.17740264296599337,0.08966512315357122,0.1281171787331422,P
F,0.47768166636322174,0.35257689790370633,0.12726259252516037,0.5490980546957948,0.25726615250720597,0.11519771732033501,0.12975634703762653,P
M,0.6345076448774863,0.48070767290442623,0.15,1.1695151496202734,0.5395967879008362,0.26067071123656294,0.3233230467402186,N
I,0.37382791782278635,0.2614511707166515,0.08271628240701118,0.4189197189008804,0.1756603223557953,0.11713737208627177,0.11787504679688524,P
I,0.3653236971183683,0.30104502404081707,0.10534834134693905,0.2762508305367372,0.10602144591632745,0.06661082956857184,0.0937191947142866,P
M,0.5176981642887721,0.4020030454301615,0.11677133914395796,0.6383993740077057,0.32503596988842964,0.12479603248765908,0.16360548177429074,N
M,0.49556897043738374,0.38460438383268536,0.916190561208383,0.7112114308042248,0.3637973011536251,0.1495516350103768,0.178783742677404,P
I,0.3633286429838463,0.2857507346089261,0.10987253239043546,0.3340326532721556,0.1432224061729856,0.0740410959012323,0.10595186857453712,P
M,0.5639375323924172,0.44595835492827807,0.15198611830942604,0.9087058118155669,0.4446959391485627,0.17747997520440265,0.23665349633657723,N
I,0.37492738853817126,0.2837544855903766,0.09531436899599025,0.3263523005598946,0.12970186333094583,0.08290261470603821,0.09927866134379275,P
I,0.5426185447989093,0.428633741178201,0.12398480362070817,0.6578327690620668,0.2808367096883362,0.15322006443683842,0.19413465556904516,P
F,0.5358426793825259,0.44,0.15,0.8613495810803913,0.36808297386990285,0.20583965988970987,0.24917457486213732,N
F,0.547604008247381,0.43305257120675916,0.17501096790780674,1.3790627039512815,0.4560756038131534,0.2918928508817034,0.5521773811036164,N
M,0.3770762323233451,0.2749152047751665,0.08355931496788094,0.22534312883405805,0.11047875950428909,0.041906766942185675,0.06324573939400707,P
I,0.42917854052835447,0.34093468326655463,0.12031695269813292,0.6194822816169838,0.2834440794522267,0.12697446595028997,0.1734890232953497,P
M,0.5222427139763716,0.4008640709645573,0.11543203548227865,0.6153776178247283,0.26703056676670966,0.11701212418797527,0.19898104482772266,N
F,0.4271936923774459,0.3107460577359037,0.12359684618872296,0.3362268522343524,0.13289183283791833,0.07943975011334961,0.09289526928308445,P
I,0.5695083860815756,0.4558079286589442,0.14140243958736745,1.0603319456552993,0.4929706602555181,0.23913986508141716,0.29185061220504843,P
M,0.4929570248835051,0.37270517622995114,0.12482740324962016,0.5886382431086026,0.2488837583001437,0.11681243158728696,0.1933082037040775,N
I,0.52,0.40526385175988733,0.13210641959981229,0.6568166221118649,0.28949824220828535,0.14571196030376724,0.19284256783992493,N
I,0.5045237483065623,0.393571361788977,0.13738090785931797,0.641666355015226,0.2096666355015226,0.14892848628094565,0.21038081436388578,P
I,0.45869567207291295,0.35492237777851854,0.11158385945981984,0.5989053741181123,0.24763357429572777,0.11108852594664868,0.19133543783927934,P
M,0.541389059423492,0.42212968647449733,0.14606484323724866,0.7995187458979894,0.35012553718399997,0.1856989859645291,0.2433979719290582,N
F,0.6987420272969349,0.5513800303299278,0.19964701971445303,1.936564103602577,0.8533590260208499,0.49077809402277606,0.4844179668774907,N
I,0.5070767222142898,0.36332010723089925,0.13187830749169532,0.8917103298078266,0.3144907448197738,0.14709127169983682,0.23801587596013749,N
M,0.5936208583170228,0.455188585646018,0.16686454534200956,1.0939806453592937,0.5051607065580435,0.26422351486642415,0.3013774996905263,N
M,0.47558429604089403,0.3742070017207999,0.13550917728037642,0.5839507125631055,0.28468946230561865,0.11280717177255054,0.15969948984474816,P
M,0.6434069195830611,0.5133517298957653,0.1800551896872958,1.313184352122468,0.6647844356110644,0.22203640662671523,0.3620772655622141,P
F,0.6102516071662591,0.4889526030318789,0.17117320055125068,1.1271135130922043,0.43279081047376333,0.294772381185189,0.3418730240516927,N
F,0.585,0.43615867590740626,0.15269161772751338,0.9856541911362433,0.4389991030457674,0.21180658836402141,0.2978877202261897,N
I,0.23988127334711654,0.1702374533057669,0.050237453305766885,0.05458310865701841,0.020535617995865035,0.015964382004134966,0.01555936332644172,P
M,0.5001576262409297,0.39515762624092976,0.15257881312046487,0.8470687298229308,0.2991015304267004,0.1830687298229308,0.27773643936139464,N
F,0.5628635993229149,0.45547726655381915,0.12786359932291486,0.9394682275017383,0.3423772937170149,0.13086133955989465,0.3711818675694469,N
M,0.5198221131635301,0.4098221131635301,0.15446633949059038,0.8418201963056458,0.29439928695311507,0.15684975461794276,0.31258894341823495,N
M,0.6232940145256893,0.47670598547431065,0.16170598547431067,1.0804056348616544,0.49401725519761946,0.23532940145256892,0.3110117956422932,N
M,0.6289012391179134,0.5017037173537402,0.175,1.223637026117008,0.5553296282646261,0.2509012391179134,0.3454938044104331,N
M,0.4440148308107327,0.3300370770268316,0.11598516918926735,0.4619200215944891,0.24028813535141388,0.08939035997302379,0.1069163138918059,P
M,0.59,0.455,0.15129146926861198,1.0801303318377602,0.4854857821143533,0.20321208546408515,0.2879360189920189,N
I,0.5148291323586411,0.39789747941518466,0.12193165294345644,0.6155683470565436,0.2631589917660739,0.12209658264717282,0.1938692438245554,P
I,0.5534184574085459,0.4286738296341833,0.14158154259145417,0.7702190905517987,0.3876993668567471,0.15316308518290833,0.2109027820335079,P
F,0.63,0.4870542733052478,0.1874321583684402,1.2451947754768296,0.4623701496821137,0.30241859004212823,0.39164341864419827,N
