V1,V2,V3,V4,V5,V6,V7,V8,target
I,0.5883344890231605,0.44444714105404154,0.15889081503860109,0.9964119641624409,0.48512582689491224,0.21328509714668414,0.26166724451158035,2.444367398455957
I,0.23878342572114522,0.17804319025396462,0.055822483852422874,0.0739253140374006,0.02964839800480165,0.013684376747488937,0.020829344452334683,1.0164496770484575
M,0.44528039869635777,0.33584119608907326,0.11046733116059625,0.436369235958709,0.20258411960890732,0.10974301220351004,0.11997667778380817,1.01869324642385
F,0.5176164887595037,0.4105698932557022,0.14409319100760296,0.6945308280769905,0.2466491019731494,0.16088458960052007,0.2502121898754699,2.704659550380147
M,0.5144040194998483,0.3964356292579372,0.12665459511279062,0.6831855570105203,0.26010355900949433,0.13025683510789168,0.20957441949168337,2.31873560967644
F,0.44821187745280516,0.37767304777356125,0.13228475098112205,0.7104504899168984,0.23014294119620027,0.20283469667733436,0.21456317177544657,2.405177290565855
I,0.28547562459474296,0.20790999148303765,0.08115581400076394,0.16122093912299745,0.07856989678002715,0.03013450478597176,0.04374684762348696,1.0
I,0.5231117291290389,0.409148972172052,0.14155586456451952,0.6203381376764365,0.23568116067964687,0.14842290204194286,0.18304524786775064,2.896275695698701
M,0.651465964806146,0.49764397653743075,0.17382198826871534,1.1601577101800515,0.4379895202272644,0.21217080989597104,0.39573298240307303,3.0
M,0.35238411176437834,0.2710745089702689,0.10226324749986081,0.2729612746167251,0.10581258841144701,0.05570414230864094,0.09426523791141916,1.5238411176437836
M,0.5816442728395772,0.46582213641978854,0.15229446589505286,0.9717775031795852,0.4617490347226212,0.22057253538590266,0.2573804375772093,2.4588931790105724
M,0.4917281878732597,0.37552013419518554,0.12068791948288868,0.4976677852877031,0.20544966441368906,0.10463758389657773,0.15786073827021466,2.0
I,0.36830694310289275,0.2732911089646284,0.08498416586173566,0.22020402120417448,0.09991766248102538,0.0414683317234713,0.06448574927556208,1.0
F,0.5793118100234683,0.461078187161449,0.16694623143527665,1.348609508236334,0.5275904903220444,0.39130291117083627,0.3961082880273086,2.580840571550485
I,0.6562139617652308,0.5202674522065385,0.2074279235304616,1.7117936505985236,0.6386149577988156,0.34815421522243856,0.4052695375737,2.8106980882615398
I,0.37430784311525206,0.2986924369559303,0.10123081231864343,0.3487880279622324,0.1589263193035908,0.08409852099972795,0.09121546217355819,1.0
F,0.5815761329836067,0.44282437388894774,0.14594145796298258,1.0068164937781072,0.4889752325804339,0.23454264013791654,0.24532789207826555,2.312412045267054
F,0.6182197896322865,0.4891598470052993,0.15806993306481842,1.1314291107183019,0.4825926242067663,0.25514486134855247,0.3293097035727673,1.8019980875662407
M,0.4742359394072767,0.3834718788145534,0.11961796970363833,0.5547414243691285,0.28460665159184095,0.09065281211854466,0.14994375762910678,1.0
M,0.5325014866603494,0.4067654054872232,0.16367743254493186,0.9244511633301109,0.3073695272469123,0.2091343380699958,0.25951733814567723,2.7941351371805796
F,0.5944216215023824,0.4593059458028589,0.15232648645071473,0.9419204319006256,0.4218921077766231,0.19284324300476485,0.27710410812957115,2.0
I,0.3724577622626297,0.27725294874074385,0.09071684732660032,0.21474374425590373,0.10031132463569625,0.04065719639865481,0.060447521586535394,1.0
F,0.5393972744428828,0.43788074967228396,0.13772844980337035,0.8084380926863244,0.3394170361727499,0.18356480429868757,0.2509112096460666,2.2423850065543216
F,0.6387908466201951,0.5032115248146873,0.18526440601835922,1.3506226705586353,0.6420965380639132,0.28306535459231225,0.3681610150458981,3.0
F,0.5809172244621406,0.4645562992828541,0.1645562992828541,1.0623911126771937,0.43383670228694915,0.2206599509402076,0.3174444296572628,2.727814964142704
I,0.6857894263229476,0.5165496612935487,0.18903506561737551,1.8688008149074073,0.9982424861945544,0.38966366954321907,0.4561110351225959,2.695906011759534
M,0.5973444853041329,0.4524481617680443,0.17887959557988928,1.2015986212125274,0.4775290992708819,0.2573939705628634,0.3767712131695275,2.755183823195571
M,0.5536372902053495,0.4304553690714218,0.23581989082320023,1.0334072025295837,0.5107945618317556,0.21539256867891493,0.25838337069963013,1.327276845357109
M,0.5914160936499504,0.47064078115865043,0.08316851563152497,0.8773428043484192,0.42733773419447585,0.14930693744606022,0.15704507808802515,1.788765624565002
M,0.2590402977741239,0.187656043063999,0.060141517494749594,0.11947393941969678,0.05841058764466105,0.02770955803816174,0.033723896697523924,1.0791002691499938
F,0.5621959693901215,0.44164697704259115,0.1443106858325257,1.0351588174157609,0.48579026560550864,0.22295421497434323,0.27186534448837874,1.6238306515004672
I,0.6139167695686625,0.4681847397754285,0.14998108399287785,1.265583095139506,0.6199189120706433,0.23912477800109067,0.3475764167322948,2.6996216798575565
M,0.435690485196379,0.3352971493413929,0.1312761940785516,0.4436781197341509,0.14340553144652937,0.11348333963746532,0.160690485196379,2.725523881571032
I,0.5577007973940372,0.43864688990218825,0.15763476872962257,0.8293801593482744,0.35334162670994274,0.20548462514648258,0.24932344495109415,3.0
I,0.5859042108517017,0.45108505302204205,0.1503616843406807,0.9038876886683136,0.4047517710306479,0.2047478109753484,0.2552424429122203,1.0723368681361385
I,0.6293850057796008,0.5004033379767732,0.19005666854380193,1.3865410144341823,0.6184048397699313,0.28385233628735146,0.39999383748773004,2.895333353092652
I,0.35524777108899275,0.2731982168711942,0.10645771419138689,0.4888835671469029,0.20845010020581553,0.10862125923953932,0.1343801460540462,1.8233234270621899
I,0.3311089659268316,0.24285020721057088,0.06922179318536631,0.15666830384284774,0.06961382087943196,0.031010703526097996,0.04642899322496003,1.0
F,0.6006122296485893,0.4975510814056429,0.1568366889457678,1.3138167794368987,0.6184184939167091,0.27774504130326083,0.3459592843193108,1.1224459297178542
F,0.6268353917320141,0.4931646082679859,0.17,1.2248039483078785,0.47990534547392266,0.21589258976474937,0.31315827094510823,2.0
M,0.6714207290792945,0.5184152740584276,0.183005455020867,1.3506226687222531,0.5396118971750268,0.2536966577402261,0.36977585941367785,2.0
M,0.3778948890949948,0.2935965927299965,0.09929829636499826,0.2940143233531901,0.1168255416209465,0.07128866602004762,0.08873693345699687,1.9719318545999305
F,0.6062805820077821,0.48067306682115585,0.15002185054484315,0.9494497087268674,0.34691170278683775,0.18810663766283328,0.3398531363226594,2.8828670716433686
I,0.4808407786907357,0.364727758513624,0.12472432219482288,0.6431629240298363,0.31298445933528607,0.13317193568882835,0.1531715920569482,1.0
M,0.5315301171626174,0.4389647139915892,0.15546643694018697,1.094082343220657,0.4973577394935525,0.2411160027592531,0.29160008270364546,1.0932873880373921
F,0.541789101644337,0.4249280665173145,0.1721166210762135,0.7261931370706491,0.3389256154711178,0.17446403325865728,0.2057379844544988,2.4744414050809
I,0.5891131918175109,0.42502456230401847,0.12778323606755967,0.8586080741376813,0.4103126595276254,0.16657384082632484,0.24706887706076472,2.8522157378373114
F,0.5887711669477534,0.4528389738173568,0.15,1.019317740285877,0.46905080067460825,0.23169067806869603,0.2545847283216741,1.618643862607931
F,0.6713932946874671,0.5347949710156003,0.1786393294687467,1.6769711414591544,0.7016043972998839,0.37029730502650987,0.4677194842530831,3.0
F,0.5701182924121498,0.44994085379392507,0.16976341517570026,0.8346606370148871,0.35812832116021276,0.16213740764979084,0.28107097544728993,2.505914620607493
M,0.6095925692708515,0.4747012174652911,0.1399185138541703,1.1308541981598177,0.5265629093229584,0.23525010915278888,0.34907377414240226,2.989135180556039
F,0.45218450696790535,0.34954990390337065,0.11984996796779024,0.4874542443037852,0.20230368106476498,0.10619685014204541,0.15135220223241702,1.610768245162776
I,0.4414371059360009,0.33774681809488427,0.11109872723795372,0.4154657724751645,0.15243272567267033,0.10147492265685627,0.1531130605075355,2.0366242412651236
I,0.432824010628569,0.3285300132857112,0.122824010628569,0.39971384596856085,0.1730716228514233,0.09182401062856899,0.11139750996428344,2.5706002657142246
I,0.4793554023542796,0.38375161909354594,0.12267297210122274,0.539064911788002,0.2028119974196193,0.10592329591993192,0.20155351072391278,2.7069188840489096
I,0.565865361756119,0.445,0.16391024117074598,0.8593527088779132,0.3916507515120915,0.18973728768770348,0.23264418733662606,1.3910241170745992
I,0.4220119312395527,0.33346430737781585,0.0058095045530525535,0.4082839939230779,0.19564348836648304,0.08222382204051584,0.11100596561977637,1.072618806913157
F,0.539458262017831,0.3966252139465073,0.13472913100891545,0.6610799012163416,0.2734524720028216,0.15727529952511018,0.19270425937681984,1.9458262017830905
F,0.5292036506631916,0.3948855741145809,0.14587108930671258,0.6805805928155007,0.32306657119374493,0.15361700491863295,0.16932508735948865,2.0
F,0.4780349154364259,0.3803793644295532,0.13310317785223383,0.4930182419467348,0.17953189442989645,0.07682855973195825,0.18158572013402088,1.0
M,0.6316224434868607,0.4888726657923511,0.17862511115274518,1.3634194376789075,0.5169049082675039,0.3017714208816051,0.3783364218183717,2.0
M,0.42730458302262003,0.3312610711622458,0.12727185252876325,0.5850000037674005,0.22663843029255906,0.13370023183658264,0.17129380165610258,1.5521755930187147
M,0.5144030374909923,0.4090154507988967,0.13577517338419104,0.7260168115380315,0.3057805284950178,0.146258098502224,0.22479062418308776,1.831006935367642
M,0.5147200347452134,0.4176533487756504,0.11941333719391262,0.6561881007611192,0.26257140031438375,0.13780669755130087,0.2122066685969563,2.558666280608739
I,0.29098016485452904,0.20666071914918482,0.06493650937753624,0.13818354318419393,0.06183948918859605,0.025577185043469224,0.03987301875507248,1.0
M,0.644033394563071,0.5105250459223032,0.16745825679616141,1.2220168892333683,0.5199105776991791,0.235667164767187,0.3461098346797087,2.7016697281535436
I,0.3572706753582706,0.2702491563186284,0.09769535871952292,0.3009991672519955,0.10925623437464926,0.0680750317671681,0.10592299599850913,1.567383967988073
M,0.7013720776877791,0.5594202831570516,0.20754883107511166,2.053510345604518,0.8983934869353413,0.5326712215658103,0.5080839512364486,2.864524201365666
I,0.5613562029187268,0.4365733199444337,0.1507363134121021,1.1008684841974696,0.4817265635441768,0.19535714515637745,0.38532977198058166,2.5317810145936344
F,0.5439740911102249,0.47748380694389053,0.15599352277755624,1.1879891348953584,0.5145539594202226,0.29532934597493626,0.3360755850286529,2.900647722244378
I,0.607660052858394,0.49195220838590914,0.1696348055906061,1.124353916236064,0.4712984643443729,0.28390216233718796,0.33390441677181826,2.8926961118121217
I,0.5384532905107685,0.43283071982011756,0.158754858618698,0.8421789306675478,0.3263346067150759,0.21849705145391585,0.252509717237396,3.0
I,0.42436992038481947,0.31347180036076827,0.10449060012025611,0.32915130126268904,0.15307228473837248,0.06741819227899416,0.09513402020443537,1.0
I,0.39433890000817373,0.3006880650069476,0.08986778000163473,0.3017120730128327,0.11930571475472031,0.07285725450331033,0.09781893675455684,1.6216945000408685
F,0.5864631310319891,0.45541474758720435,0.1581221213808065,1.0180011627688443,0.4705299602819465,0.21816820193023653,0.2796658990348817,1.4585252412795662
M,0.5480907510872018,0.42595462445639903,0.15618150217440369,0.7980595096189151,0.35264170700963066,0.19758132837032572,0.2177684109235573,2.0
I,0.2790973046327498,0.2072983314393213,0.0662996149475357,0.11637643184716406,0.05003328651653381,0.03035403095129815,0.0321741336319553,1.0
F,0.5999395757948017,0.46924255413914406,0.17790893503302713,1.4616327395178805,0.6988886644755905,0.35478722930427964,0.36352050548305626,2.0
F,0.49065521694134706,0.3692197387833248,0.12228326077314579,0.682669803348278,0.3567188212062524,0.15565805194764878,0.14719273022394544,1.0
M,0.38254994279012877,0.2888900841549752,0.0718874856975322,0.3738203460312972,0.1495082423508166,0.09097957590546082,0.10700259845744298,1.4409209020792861
I,0.667467064569226,0.5244298064752115,0.185,1.1647841707335256,0.4682435160051395,0.2653312063654779,0.3503048580208587,1.7214903237605763
M,0.4120647221436636,0.3120647221436636,0.11323883328619817,0.37717183300338714,0.19257675531673737,0.06482388332861982,0.10041695548642396,1.8825888857465443
I,0.5728527792475185,0.46,0.14946319481187964,0.9652163247722547,0.41663500264553344,0.19459819745741302,0.29078222339801485,2.553680518812036
I,0.5079902629113003,0.4043873417846904,0.14919123662017025,0.6658558325854689,0.2338628627238885,0.13946578385049843,0.25259088610478786,2.5196105164520115
M,0.6141524139691132,0.464491448381468,0.1504520458831396,0.9203159775688586,0.45959575671727443,0.18227962763196945,0.24306520887037084,2.0
I,0.4468698762817316,0.3525623895372604,0.11843493814086578,0.4575306624258676,0.17140864616502471,0.10232691693201978,0.1553518727469239,2.2409982325961653
I,0.4980572218363315,0.39591181755036065,0.13775328265287795,0.6411639668133138,0.2810584381415486,0.15833076710143973,0.179991084999102,2.020262612230237
F,0.6104876210400055,0.4765089701633387,0.14489325438333447,1.2659496319608583,0.5979218692716785,0.330359526300007,0.28671323998800535,1.89786508766669
M,0.6283332513699132,0.47404757221137894,0.17380946526422372,1.397427313875526,0.4162619422308968,0.33195205895323054,0.4772850890219095,2.9523786105689496
M,0.6167915987438741,0.4895277324959161,0.1481791598743874,1.1523640743916514,0.5305398695882382,0.22109347878809218,0.3220121370923221,1.5452773249591603
M,0.5116161303641391,0.41126791297655285,0.11452682603862148,0.6720441690629048,0.32690287367917625,0.16863579121213945,0.1856902737988984,2.0696434775172534
I,0.3821613981532855,0.276382985310537,0.08826933393954337,0.2462563861917676,0.10992814254327365,0.045476394851666845,0.07591593760488799,1.0311365137099369
F,0.6149096775412342,0.5145576614655241,0.18245483877061708,1.3605300817009407,0.5966287505431246,0.31787354855772776,0.35543306477512254,3.0
M,0.6543017616690131,0.5039833036350697,0.16729052850070392,1.559164121091882,0.654113571834491,0.3944465102772096,0.44574538696037874,2.3944140933521045
F,0.6503339673566413,0.507267173885313,0.16397366302545346,1.4363267757894083,0.690368044416998,0.29535419560503207,0.3661213694903451,2.04534347770626
I,0.3246556544175398,0.25322557742724094,0.0725052694660458,0.21613808215064026,0.09462227375250291,0.047917602230616994,0.05986436955343422,1.0
F,0.6879245660937032,0.553107692614847,0.2039622830468516,1.802277173524496,0.7721821350205378,0.43659439253118454,0.5107270478399772,3.0
F,0.5907167329661668,0.4644300397797001,0.1346416335169166,0.9985245855263551,0.402576812525567,0.21222321506530178,0.30486961760503656,2.185665340676664
M,0.4584741450363031,0.35347414503630314,0.12,0.5361598743388746,0.26522141739458477,0.12856190976752382,0.13538965801452127,1.4610341985478748
I,0.3810204827465734,0.285,0.085,0.23842867584520278,0.11632662757054545,0.041316386197258734,0.06959180690137064,1.0
F,0.6699473819885841,0.543298254659056,0.19335087267047202,1.7781824950339407,0.8412648869546433,0.3628193018636224,0.4848421459657519,3.0
I,0.3774009535441759,0.275,0.095,0.2521893801962857,0.09631933251907689,0.06277100122138468,0.07694928484186808,1.0
M,0.5463620560565778,0.43,0.14068102802828888,0.8319318971971711,0.4347508691688822,0.17023835980990112,0.20222585045091998,2.0
M,0.4873549585029308,0.37867747925146544,0.12421501383235639,0.5187397589910316,0.19868600553294258,0.1315537534580891,0.165,1.0
F,0.6604205016456657,0.5327102508228329,0.19228974917716718,1.4852381788673144,0.5828809105663428,0.27577562705708203,0.4818692475315015,3.0
M,0.5585393267346563,0.44,0.1385393267346563,0.9209044990202127,0.38191573069386253,0.19457302969404672,0.29415730693862513,3.0
M,0.44814580575667495,0.3481458057566749,0.09629161151334988,0.37195006618398013,0.14520206402967245,0.09130193166171216,0.12185419424332505,2.0
M,0.7302298607584828,0.5864223955688621,0.2226149303792414,1.7542907001051231,0.6407763602328678,0.34280556730006667,0.5819875580172987,3.0
M,0.5239944863972053,0.39701102720558945,0.12698345919161583,0.7660137840069868,0.3339807023902185,0.15094631426347568,0.2239944863972053,1.0
M,0.6591869771812051,0.5106402328859038,0.1843597671140962,1.392487813691277,0.6008943251006744,0.33199290637584306,0.3884603493288557,2.0
M,0.6275310231914311,0.48,0.15,1.2697655115957154,0.6525992742125792,0.2462034652128535,0.3097531023191431,3.0
F,0.6043597261235314,0.46202500369597704,0.1776652775724457,1.6588966661738698,0.8109877808988251,0.34369624944560345,0.42938624796721264,2.0
M,0.41998597975283103,0.31748948481462325,0.11751051518537674,0.3634943919011324,0.1385042060741507,0.09099649493820776,0.11749649493820775,3.0
F,0.6863657419721344,0.5695462967888537,0.19954629678885374,1.819314812844585,0.748587961239012,0.376048149724332,0.5364060167206839,3.0
F,0.625,0.5014245534415341,0.16452514885282193,1.2857207144935454,0.5728575446558465,0.30563683016230125,0.31556982137661366,2.0
F,0.5766308921085129,0.43371675104808183,0.15802146473489223,0.8839759680517866,0.36744120373612715,0.23667382157829742,0.24248670041923273,3.0
F,0.635797480081438,0.5126075597556861,0.18760755975568602,1.375088660366471,0.5044265517882611,0.3027670557719736,0.44202519918562005,2.0
I,0.4784090064888283,0.3684090064888283,0.12340900648882833,0.5392043175198364,0.24606829156452317,0.09988630454217984,0.16420450324441416,2.0
I,0.39139790547648573,0.28819895273824286,0.09319895273824286,0.30279162325572356,0.16322303705909574,0.06403769602413428,0.07601884801206714,1.0
I,0.5310047805555426,0.4244976097222287,0.1289952194444575,0.771921034444387,0.4162870925000352,0.12301195138885627,0.21135645374998238,2.0
I,0.26159635228450595,0.20340364771549402,0.06840364771549404,0.0971596352284506,0.04102109431464821,0.01947890568535179,0.029701823857747018,1.0
M,0.437566597570271,0.33865010364459347,0.10513319514054205,0.3947300207289187,0.15712167012148645,0.09429661829918971,0.1215133195140542,2.0
F,0.5545847860328823,0.4280565240219215,0.13264131005480373,0.9719469624569959,0.5572808768701488,0.16618283145151552,0.21224912838027066,1.0
M,0.5056141638077318,0.4015354095193295,0.12592124571159768,0.7697543344769073,0.275373199613582,0.1598291211404379,0.255,3.0
F,0.6274391388820229,0.48825218517603053,0.17174781482396947,1.3790530592464427,0.7288656361241566,0.27052434444719087,0.3324878277764046,2.0
I,0.34780717516331966,0.2669080720587347,0.06971524722205436,0.20453542660113733,0.08579618857836324,0.054335650441114255,0.18605403449386004,1.0
I,0.387045612168562,0.30613683650568585,0.09,0.30861368365056857,0.15024982661458183,0.05354526539772565,0.08615929581913055,1.0
M,0.5994460723542422,0.4495845542656816,0.1452769638228789,0.8770415445734319,0.4322922771328408,0.15537390116088654,0.24006924095571971,2.0
M,0.5628214918590687,0.44905950271364375,0.15217850814093128,0.9178608345322306,0.36420248643178116,0.2674261103118463,0.3377735352773689,2.0
I,0.5888880681783905,0.445,0.1461119318216095,0.9191665681814069,0.44722238636432193,0.1990552272713562,0.24722179545276307,2.0
I,0.36,0.2780367083279587,0.09196329167204137,0.2221624041575297,0.08673303749516277,0.041374304170428956,0.09,1.0
M,0.6164912205826311,0.4817167941192483,0.17992480882112757,1.146969923528451,0.4338132823523007,0.2736115264688269,0.3969561455921583,3.0
I,0.5412328112883049,0.42561640564415243,0.16904101411038117,0.8192670693128516,0.4545275019387121,0.13795874709193184,0.21053413862570314,2.0
M,0.48981047140156575,0.3966034904671886,0.1416034904671886,0.6296603490467189,0.23026383951390744,0.13325361282203546,0.22660349046718858,3.0
F,0.6028756576452837,0.47643782882264185,0.16075131529056738,1.061444308998491,0.42662171177358155,0.1974767098777376,0.3986269729358511,3.0
I,0.5478742864946913,0.4359057148710184,0.16212571350530874,0.8306848566160834,0.37092514270106175,0.18366542878604009,0.23842514270106174,2.0
I,0.585,0.45059864552552586,0.15,0.893236072024025,0.3989367492612621,0.20667282128528713,0.25066528245044906,1.0
M,0.6129283132880821,0.4732320783220205,0.16969623496606157,1.0149088704898184,0.43744471384577743,0.2095801958050513,0.3179283132880821,2.0
I,0.63,0.49754489464913915,0.17627244732456956,1.2701362236622848,0.6043637763377152,0.277107747157934,0.3246916369561191,3.0
F,0.5212391073726808,0.3992478214745362,0.15274346442360842,0.7082787034932885,0.2871900318257006,0.16283175342893796,0.22725653557639158,2.0
I,0.4720289768050733,0.3729710231949267,0.1159420463898534,0.48801448840253664,0.20513039562282984,0.10224636288811728,0.13946374897116126,1.0
M,0.7216587576300199,0.5566350305200796,0.2000237271099403,2.2199048775536587,1.154433350085587,0.5303080244160637,0.44248317701646167,2.0
M,0.35306967975073755,0.27034839875368777,0.0911393595014751,0.2335320144545728,0.09723728822433621,0.056016007227286405,0.06920903925221265,3.0
F,0.470751400433216,0.36575140043321597,0.12641619985559466,0.511624299783392,0.21763295988447573,0.1129248599566784,0.165,2.0
M,0.5386209824524129,0.41862098245241275,0.13103426316069042,0.7522927228118633,0.3669312614006199,0.16867216491544915,0.18453447543868967,2.0
M,0.6877210829710562,0.5454421659421123,0.19727891702894387,1.4949705222705258,0.5853310637560539,0.33983106375605393,0.4752947772947415,3.0
I,0.23502757603114302,0.175,0.04002757603114305,0.07049724239688569,0.033488969587542786,0.01504687925294318,0.02,1.0
M,0.6060324585100131,0.46,0.15603245851001316,1.0007935082979973,0.4943967541489987,0.2008683529527372,0.2720243438825099,2.0
M,0.5829038802805685,0.4681441795791472,0.15,0.9729779989399046,0.4323384478877726,0.2557576718316589,0.24773364190180103,2.0
I,0.45663201312754276,0.36581600656377133,0.11581600656377136,0.4310608085329028,0.18548960393826283,0.07940800328188569,0.14407120459463996,2.0
F,0.5483275309998974,0.4326689876000411,0.13866550619997947,0.7710372789200698,0.333526834719885,0.16673484194002672,0.22693066425995276,2.0
F,0.4974414893266475,0.385,0.12523404269341004,0.670312765845272,0.297570212808023,0.1510484044340978,0.18988297865329498,3.0
M,0.6503531639844631,0.5098822786718457,0.1746468360155369,1.315852532695151,0.6340291146873825,0.2603234180077685,0.36405886066407717,3.0
F,0.6602084781143577,0.47666782491486087,0.17937456565692717,1.3701671299659444,0.6401660875425695,0.29433356498297214,0.33539610841727946,1.0
F,0.565,0.438430993572982,0.14843099357298198,0.8571946762200334,0.423232451797365,0.1518242115686324,0.265292980718946,2.0
F,0.6542110098777277,0.5057889901222723,0.16657798024454465,1.364317433584274,0.582158716792137,0.3458192711196393,0.3948165148165915,2.0
M,0.2714012840282459,0.19859871597175413,0.08280256805649176,0.11825794555480658,0.04874205444519342,0.028420385208473765,0.0387388443745787,1.0
I,0.42,0.31,0.09633488813569586,0.2810023322035438,0.1226967349150387,0.05700699661063135,0.08719906711858248,1.0
F,0.5625352806230072,0.45753528062300713,0.15830981291799526,0.9689437151443054,0.4521619625835991,0.20514079420979475,0.27433803741640095,2.0
M,0.4333577945242343,0.3256568821903063,0.11032844109515315,0.4339598175332144,0.17878825862836753,0.09761320904308651,0.15368623561938743,1.0
M,0.6196916342980239,0.4934361219006587,0.165,1.1987819390496706,0.5519779832655866,0.28227752913177856,0.3108369973132277,2.0
F,0.5690814188642103,0.4681628377284207,0.14275574340736893,0.8710918581135789,0.38325469584199967,0.2117348649086317,0.23489875020242168,2.0
M,0.595,0.4592947218901817,0.14141055621963664,0.8567958911467645,0.42291055621963664,0.2220441372618903,0.22643577751214536,2.0
I,0.46870002129770155,0.3581499893511492,0.11185001064885076,0.5043800511144837,0.27112502662212695,0.08611000638931046,0.12525502449235676,1.0
F,0.575,0.45472443896729164,0.16,1.0845355363855207,0.5474960098588751,0.21730710727710412,0.25348422687780214,2.0
F,0.48423306709725117,0.3676992012917536,0.115,0.4775796805167014,0.20057370606384833,0.09803087857907107,0.1294601597416493,1.0
F,0.6417436056391322,0.5136922957706509,0.1658718028195661,1.3128948845113058,0.4998615873403314,0.25767950704891524,0.40986922957706506,2.0
I,0.35005842767172196,0.260116855343444,0.075,0.179970786164139,0.08987145912221162,0.024581798740410783,0.0549883144656556,1.0
M,0.5714334370349955,0.4470429015864267,0.1523476338621422,1.0797923039168607,0.40003608973743293,0.21927766497264087,0.42852706730307466,3.0
F,0.52,0.40064955550780773,0.11967522224609614,0.8219607111875076,0.2971880556152403,0.18040256667382884,0.26305133347657683,3.0
I,0.29882710565568693,0.19666100514153356,0.08350169845753992,0.21222170542403512,0.095350169845754,0.04941864820046325,0.0583698371207412,1.0
M,0.6300036549506829,0.49250548242602427,0.17,1.4357490862623294,0.5982593201242413,0.3010058479210926,0.44647916678110766,3.0
I,0.583998237167526,0.46599882477835064,0.145,0.9822024092043812,0.45820152778814416,0.23319917734484547,0.27939717946804155,1.0
F,0.48612560838104213,0.3953752027936807,0.15774878323791577,0.6603376825143127,0.2482879258667295,0.1283752027936807,0.23537520279368068,3.0
I,0.43,0.31656407242489903,0.11030778272530291,0.3844692217274697,0.18959485069742932,0.07243844345493941,0.10687185515020194,1.0
I,0.4553902067805966,0.338234124068358,0.10392195864388068,0.448617062034179,0.2298346593891943,0.14394445260859767,0.11813756691510453,1.0
I,0.4554076037869445,0.375,0.125,0.5327146773491389,0.23282337169232406,0.1059456528284074,0.18437500752668506,1.0
M,0.59,0.4820647521476479,0.1709514358892641,1.1990647521476478,0.5746721145083955,0.23182590085905913,0.3093967623926176,2.0
I,0.3242824265149533,0.24,0.075,0.16900345215929902,0.075357636022757,0.03442939337126167,0.04914351469700934,1.0
I,0.5128690958494269,0.41,0.14475393610038215,0.6537052182142931,0.2810654520752866,0.15050836709459875,0.202655510540535,3.0
F,0.42502436564638374,0.3349634515304244,0.09496345153042435,0.32202558392870295,0.12056822380987454,0.06100609141159594,0.12495126870723247,2.0
M,0.700718341114644,0.545,0.19071518691436534,1.7432151869143655,0.8448522313167088,0.3532205490548392,0.46985727803715477,3.0
M,0.5013433334837508,0.40865666651624916,0.14,0.6601566665162492,0.25675366647112396,0.16303733339350032,0.1945223331678741,2.0
F,0.508643543884343,0.3913564561156571,0.11042582446262837,0.6107113666901257,0.19093372273540557,0.14837225266121148,0.19703468417348566,3.0
F,0.6893162234042339,0.5816938588007697,0.2042346470019245,1.7817490377176135,0.5938080657640029,0.4339440884913398,0.5966122823984604,3.0
I,0.3669107519966256,0.2784553759983128,0.11,0.23142677440101234,0.09465446240016873,0.04835354880202464,0.0780892480033744,2.0
I,0.37926689740130254,0.276466205197395,0.09426689740130252,0.2514530333783067,0.09596620519739496,0.06498682818091177,0.075,1.0
F,0.4137102586895567,0.3237102586895567,0.11371025868955671,0.34569346119656646,0.1430794826208866,0.07675794826208866,0.10871025868955671,2.0
F,0.69,0.547331978984415,0.19733197898441493,1.820142309982403,0.7855929194394162,0.4278062679512328,0.508865583187532,3.0
M,0.5356655811369936,0.4501331162273987,0.13553246490959486,0.8072204559224627,0.32247921841863536,0.1812396092093177,0.24980032565890192,3.0
I,0.5535819358333179,0.43141806416668205,0.14,0.7628130331666266,0.33745483958329486,0.16230567808330407,0.23070903208334104,2.0
I,0.32311222282209934,0.22547194429447517,0.075,0.13961352758281773,0.0567831665766851,0.03185841671165745,0.08622444564419866,1.0
M,0.6001529168972463,0.4699082498616522,0.17,1.0805091750138347,0.4994755332964406,0.2245611667588985,0.32046635828260583,2.0
M,0.6815087162899167,0.5309477022605003,0.15801743257983328,1.5373191758378166,0.6755261488697499,0.378547385113025,0.3904874800466415,2.0
M,0.5726020651386955,0.43,0.1490051628467389,0.7927423749094998,0.34873979348613043,0.19154082605547823,0.21832144559708688,2.0
M,0.5226432526040471,0.4115859515624282,0.11605730104161885,0.7697885397916763,0.26627763322901843,0.15620702421878588,0.26,3.0
I,0.5383611621727185,0.42336116217271846,0.14331941891364075,0.6879958256740922,0.26913466350137377,0.14780272161000968,0.241369510824534,2.0
F,0.5516069643175712,0.4174104464763566,0.1333930356824289,0.7794191518733206,0.3037676607493282,0.17779477676182168,0.26048208929527134,3.0
M,0.5173319817192326,0.3965336036561535,0.16039918903153955,0.7901280993776135,0.2813193512252316,0.13175845915992515,0.28806720731230695,3.0
F,0.46438630069338066,0.3593863006933807,0.10921027447996447,0.4193772601386761,0.16370171241332743,0.10111417779468679,0.1385965751733452,2.0
I,0.311173256915941,0.233826743084059,0.09,0.1273519770747823,0.046826743084059014,0.03311186244869378,0.04,1.0
M,0.633053669460494,0.485,0.15110733892098807,1.068718072813087,0.4823760112620971,0.19010394394987734,0.34474490754333387,3.0
I,0.33,0.25026594716686795,0.10446810566626405,0.1715265947166868,0.0655265947166868,0.034494700382950855,0.06,1.0
